Nodes,Energy
100,40.228159488
100,40.228159488
200,82.26432614400001
300,118.87647129600002
400,162.94664601600005
500,202.72280371200003
100,39.77615769600001
200,83.16832972800002
300,120.68447846400002
400,160.00863436800003
500,200.23679385600005
600,240.46495334400004
700,281.59711641600006
800,320.46927052800004
900,364.9914470400001
1000,404.089602048
